ID,Title,Description,Group,Campus,Zone,Location,Lat,Long,Get to know Rutgers,Experience the arts and humanities,Science and technology,All Things Green,Business and careers,Sports and recreation,Kid stuff,Health and wellness,10_00_am,10_30am,11_00_am,11_30_am,12_00_pm,12_30_pm,01_00_pm,01_30_pm,02_00_pm,02_30_pm,03_00_pm,03_30_pm
timed_25,ShockWave,"Rutgers All-Female Acapella Group, ShockWave, performs a set of music that consists of beautiful, all-female voices, without instrument accompaniment. ShockWave strives to break barriers and empower women through voice and song.",ShockWave,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,Yes,Yes,,,,,,,,
timed_17,The OrphanSporks,"As the second of six a cappella groups at Rutgers University, the ""Sporks"" are known for their energetic performance style, powerful vocals, signature multi-colored shirts, and frequent participation in charity events.",The Orphansporks,College Avenue,Voorhees Mall,Big R Stage - College Avenue,40.500303,-74.448156,No,No,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,
timed_20,Traditional Persian Dance,A traditional persian dance to modern persian music in a traditional garb.,Persian Cultural Club,College Avenue,Bishop House,Scarlet Stage - College Avenue,40.503044,-74.449969,No,No,No,No,No,No,No,No,,,Yes,Yes,,,,,,,,
timed_30,Rutgers Belly Dance Troupe,It is our goal to represent middle eastern dance as an art form and to also educate the public about the traditional and modern forms of the dance.,Rutgers Belly Dance Troupe,College Avenue,Bishop House,Scarlet Stage - College Avenue,40.503044,-74.449969,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,
timed_26,Fabulous Covers,I will be singing covers of a variety of songs from Lucy Hale to Skye Sweetnam to Taylor Swift with the band Star Studs.  Enjoy!,Sheena Parimoo and Star Studs,College Avenue,Bishop House,Scarlet Stage - College Avenue,40.503044,-74.449969,No,No,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,
timed_2,Cabaret Theatre,"Selected numbers from Cabaret Theatre's production of Next to Normal. Since 1975, Cabaret Theatre has been committed to providing the university and its surrounding community with a wide variety of theatrical experiences, as well as offering a forum for students to learn about acting, directing, writing, business management, design and construction through various workshops and hands-on experience.",Cabaret Theatre,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,,,,,Yes,Yes,,,,,
timed_5,Casual Harmony,Casual Harmony is Rutger's award winning all male acapella group. Men with charisma and enthusiasm who love performing covers to popculture favorites.,Casual Harmony,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,,,,Yes,Yes,,,,,,
timed_28,LOVELECTRIC,Rock band live performance,LOVELECTRIC/Rutgers Day,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,
timed_9,Rutgers Children's Choir & Scarlet Singers,"Ensemble vocal performance featuring students of the Mason Gross School of the Arts Extension Division Elementary, Middle, and High School choir.",Mason Gross School of the Arts Extension Division,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,
timed_14,Rutgers Youth Jazz Ensemble,Jazz ensemble performance featuring students of the Mason Gross School of the Arts Extension Division,Mason Gross School of the Arts Extension Division,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,,,,,,Yes,Yes,,,,
timed_10,American Ballet Theatre's Jacqueline Kennedy Onassis School Children's Division,"The Mason Gross School of the Arts Extension Division presents a dance performance featuring students, ages 4 - 12, of American Ballet Theatre's Jacqueline Kennedy Onassis School Children's Division",Mason Gross School of the Arts Extension Division,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,,,,,,,Yes,Yes,,,
timed_19,Chinese Dance Performance,An exhibit of traditional Chinese dance choreography combined with elements from modern hip hop.,Rutgers Chinese Dance Troupe,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,,Yes,Yes,,,,,,,,
timed_18,Verse|One Dance Troupe,Verse|One is an Asian American beginner non-audition dance troupe that strives to create a comfortable dance environment for dancers of all levels.,Vietnamese Student Association,Cook/Douglass,Passion Puddle Area,Big R Stage - Cook/Douglass,40.481552,-74.437808,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,,
