Latitude,Longitude,ID,Title,Description,Group,Timed ,Campus,Zone,Location,Get to Know Rutgers,Experience the Arts & Humanities,Science & Technology,All Things Green,Health and Wellness,Business and Careers,Sports and Recreation,Kids Stuff,Alumni
40.523216,-74.462193,358,Origami Bow Ties and Shirts,Fold paper to create your own mini business wardrobe.,Phi Chi Theta,no,Busch,Life Sciences Area,,Yes,no,no,no,no,Yes,no,Yes,no
40.522637,-74.462732,360,Siblings of Individuals with Disabilities: A Life Long Perspective,A brief presentation on sibling issues and roles across the lifespan as well as a hands-on activity.,Graduate School of Social Work,no,Busch,Life Sciences Area,"Science & Engineering Resource Center, room 117",Yes,no,no,no,Yes,no,no,no,no
40.523718,-74.463791,363,Skills of a Surgeon,Steady! Try your hand at performing surgery using a popular game.,Alpha Epsilon Delta,no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,Yes,no
40.523026,-74.459851,364,Solar Car Exhibition,Have a seat in the team's solar-powered vehicle and learn what it took to create it.,Rutgers Solar Car Team,no,Busch,Busch Student Center Area,Lot 59,Yes,no,Yes,no,no,no,no,Yes,no
40.523276,-74.462133,369,Jeopardy! Do You Know Your Marketing?,Show off your smarts in this classic answer-and-question game with a marketing spin.,Rutgers Association of Marketing and Strategy,no,Busch,Life Sciences Area,,Yes,no,Yes,no,no,no,no,Yes,no
40.523367,-74.463444,371,Protein Folding,"Make your own proteins and learn how they digest food, contract muscles, and build strong bones.",Molecular Biology and Biochemistry Society,no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,Yes,no
40.522831,-74.462087,376,Staying Healthy! Health Topics and Tips,Come join Rutgers pharmacy students and learn about health facts and how to stay fit,Academy of Managed Care Pharmacy,no,Busch,Life Sciences Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.523402,-74.46152,378,Spreading Punjabi Culture,"Celebrate Punjabi cultural traditions with henna, dance, and a dholi (traditional drummer).",Association of Punjabis at Rutgers University,no,Busch,Life Sciences Area,,Yes,no,no,no,no,no,no,no,no
40.523033,-74.46283,379,Computing Beyond Code,"Join us for games, trivia, and candy.",Women in Computer Science,no,Busch,Life Sciences Area,,Yes,no,Yes,no,no,no,no,Yes,no
40.52317,-74.463378,382,Craft to Cure,Make your own play putty and learn about the club's DIY approach to helping others.,Craft to Cure,no,Busch,Life Sciences Area,,Yes,no,no,no,no,no,no,Yes,no
